job_key,source,url,title,title_clean,company,seniority,location_primary,work_arrangement,salary_raw,salary_min_vnd,salary_max_vnd,salary_mid_vnd,salary_currency,salary_disclosed,n_skills,posted_raw,first_seen_at,last_seen_at,skills,locations
itviec:2546,itviec,https://itviec.com/it-jobs/data-engineer-data-division-mb-bank-2546,Data Engineer - Data Division,Data Engineer - Data Division,MB Bank,Không rõ,Hà Nội,At office,Sign in to view salary,,,,,False,6,1 hour ago,2026-09-03T07:26:22+00:00,2026-09-09T07:09:37+00:00,"Data Engineer, Power BI, Tableau, Business Intelligence, Cloud, Oracle",Hà Nội
itviec:0231,itviec,https://itviec.com/it-jobs/data-scientist-data-division-mb-bank-0231,Data Scientist - Data Division,Data Scientist - Data Division,MB Bank,Không rõ,Hà Nội,At office,Sign in to view salary,,,,,False,6,1 hour ago,2026-09-03T07:26:22+00:00,2026-09-09T07:09:37+00:00,"Data Science, Keras, Spark, Deep Learning, Machine Learning, Matlab",Hà Nội
itviec:4101,itviec,https://itviec.com/it-jobs/ai-software-engineer-python-go-c-c-ai-agents-mb-bank-4101,AI Software Engineer (Python/Go/C/C++ & AI Agents),AI Software Engineer,MB Bank,Không rõ,Hà Nội,At office,Sign in to view salary,,,,,False,6,4 days ago,2026-09-03T07:26:22+00:00,2026-09-09T07:09:37+00:00,"Python, FastAPI, Docker, Golang, AI, C++",Hà Nội
itviec:27001,itviec,https://itviec.com/it-jobs/iso-27001,ISO 27001,ISO 27001,,Không rõ,Hà Nội,At office,Sign in to view salary,,,,,False,12,Posted,2026-09-03T07:26:22+00:00,2026-09-03T08:56:31+00:00,"IT Auditor / IT Risk Manager, IT Governance, IT Audit, PCI DSS, Identity & Access Management, Risk Management, Compliance Officer / Analyst, Governance, Risk & Compliance, Security, Security Engineer, CI/CD, OWASP",Hà Nội
itviec:5154,itviec,https://itviec.com/it-jobs/senior-it-business-analyst-banking-gft-technologies-vietnam-5154,Senior IT Business Analyst (Banking),Senior IT Business Analyst,GFT Technologies Vietnam,Senior,Hồ Chí Minh,Hybrid,Sign in to view salary,,,,,False,5,2 minutes ago,2026-09-03T09:51:16+00:00,2026-09-03T09:51:16+00:00,"Business Analysis, Project Management, Agile/Scrum, SQL, Data Analyst","Hồ Chí Minh, Hà Nội"
itviec:2457,itviec,https://itviec.com/it-jobs/php-full-stack-developer-on-site-yet-company-2457,PHP Full-stack Developer – On-site,PHP Full-stack Developer – On-site,Yet Company,Không rõ,Hồ Chí Minh,At office,Sign in to view salary,,,,,False,4,6 days ago,2026-09-03T09:51:16+00:00,2026-09-09T07:09:37+00:00,"PHP, MySQL, REST API, Laravel",Hồ Chí Minh
itviec:5519,itviec,https://itviec.com/it-jobs/middle-senior-business-analyst-erp-gon-tech-5519,Middle/ Senior Business Analyst (ERP),Middle/ Senior Business Analyst,GON TECH,Senior,Hồ Chí Minh,At office,Sign in to view salary,,,,,False,6,6 days ago,2026-09-03T09:51:16+00:00,2026-09-09T07:09:37+00:00,"Business Analysis, User story, Jira, Agile/Scrum, CRM, ERP",Hồ Chí Minh
itviec:5830,itviec,https://itviec.com/it-jobs/qc-engineer-api-sql-automation-testing-datvietvac-5830,"QC Engineer (API, SQL, Automation Testing)",QC Engineer,DatVietVAC,Không rõ,Hồ Chí Minh,At office,Sign in to view salary,,,,,False,5,6 days ago,2026-09-03T09:51:16+00:00,2026-09-09T07:09:37+00:00,"QA/QC, Jmeter, Playwright, Postman, REST API",Hồ Chí Minh
itviec:4329,itviec,https://itviec.com/it-jobs/principal-backend-engineer-golang-microservices-datvietvac-4329,"Principal Backend Engineer (Golang, Microservices)",Principal Backend Engineer,DatVietVAC,Principal/Architect,Hồ Chí Minh,At office,Sign in to view salary,,,,,False,6,6 days ago,2026-09-03T09:51:16+00:00,2026-09-09T07:09:37+00:00,"Golang, Node.js, Python, PostgreSQL, GCP, Microservices",Hồ Chí Minh
itviec:3240,itviec,https://itviec.com/it-jobs/fullstack-developer-nexacro-front-end-java-hcm-dn-hitachi-digital-services-3240,Fullstack Developer (Nexacro / Front End/ Java) HCM ĐN,Fullstack Developer HCM ĐN,Hitachi Digital Services,Không rõ,Hồ Chí Minh,Hybrid,Sign in to view salary,,,,,False,6,1 day ago,2026-09-03T09:51:16+00:00,2026-09-09T07:09:37+00:00,"JavaScript, REST API, English, DevOps, Java, Spring","Hồ Chí Minh, Hà Nội, Đà Nẵng"
