run_id,started_at,finished_at,sources,n_raw,n_clean,status,note,n_issues,quality
16,2026-09-09T07:24:18+00:00,2026-09-09T07:24:42+00:00,careerlink,124,119,success,"moi=0, cap_nhat=119",0,"{""status"": ""ok"", ""n_jobs"": 119, ""per_source"": {""careerlink"": 119}, ""missing_pct"": {""title"": 0.0, ""url"": 0.0, ""company"": 0.0, ""location_primary"": 6.7}, ""salary_disclosed_pct"": 43.7, ""issues"": []}"
15,2026-09-09T07:09:10+00:00,2026-09-09T07:09:37+00:00,itviec,291,287,success,"moi=31, cap_nhat=256",0,
14,2026-09-09T07:08:46+00:00,2026-09-09T07:09:08+00:00,careerlink,124,119,success,"moi=6, cap_nhat=113",0,
13,2026-09-08T07:00:49+00:00,2026-09-08T07:00:49+00:00,"itviec,careerlink",290,287,success,"moi=0, cap_nhat=287",0,
12,2026-09-08T07:00:48+00:00,2026-09-08T07:00:48+00:00,"itviec,careerlink",130,122,success,"moi=0, cap_nhat=122",0,
11,2026-09-08T06:38:20+00:00,2026-09-08T06:38:48+00:00,itviec,290,287,success,"moi=235, cap_nhat=52",0,
10,2026-09-08T06:37:52+00:00,2026-09-08T06:38:14+00:00,careerlink,130,122,success,"moi=122, cap_nhat=0",0,
9,2026-09-07T08:09:27+00:00,2026-09-07T08:09:39+00:00,topcv,0,0,failed,'sources',0,
8,2026-09-03T09:51:15+00:00,2026-09-03T09:51:16+00:00,itviec,62,58,success,"moi=58, cap_nhat=0",0,
7,2026-09-03T09:46:37+00:00,2026-09-03T09:46:37+00:00,itviec,0,0,failed,Khong tim thay so muc FROM_HTML\_index.jsonl. Thu muc snapshot cu (truoc khi co _index.jsonl) khong dung duoc cho --from-html.,0,
6,2026-09-03T09:46:29+00:00,2026-09-03T09:46:29+00:00,itviec,0,0,failed,Khong tim thay so muc FROM_HTML\_index.jsonl. Thu muc snapshot cu (truoc khi co _index.jsonl) khong dung duoc cho --from-html.,0,
5,2026-09-03T09:46:05+00:00,2026-09-03T09:46:05+00:00,itviec,0,0,failed,Khong tim thay so muc FROM_HTML\_index.jsonl. Thu muc snapshot cu (truoc khi co _index.jsonl) khong dung duoc cho --from-html.,0,
4,2026-09-03T08:56:18+00:00,2026-09-03T08:56:31+00:00,itviec,4,4,success,"moi=0, cap_nhat=4",0,
3,2026-09-03T07:29:19+00:00,2026-09-03T07:29:35+00:00,itviec,4,4,success,"moi=0, cap_nhat=4",0,
2,2026-09-03T07:26:04+00:00,2026-09-03T07:26:22+00:00,itviec,4,4,success,"moi=0, cap_nhat=4",0,
1,2026-09-03T07:26:04+00:00,2026-09-03T07:26:22+00:00,itviec,4,4,success,"moi=4, cap_nhat=0",0,
